Candidate Name,DOB,Registration Number,State,Maths,Physics,English,GK,Total Marks,PFT
Mathew Chopra,12-06-2005,158704,West Bengal,19,15,3,4,41,Pass
Aditya Mehta,14-07-2005,588315,Meghalaya,24,1,21,5,51,Pass
Aarav Pillai,14-12-2005,200113,Assam,4,17,3,9,33,Pass
Aarav Singh,15-01-2006,655149,Jammu & Kashmir + Ladakh,1,19,2,21,43,Pass
Krishna Chopra,10-04-2005,469928,Andhra Pradesh,4,1,6,5,16,Pass
Aarav Chopra,31-12-2004,220556,Madhya Pradesh,20,20,20,4,64,Pass
Krishna Reddy,11-10-2005,204794,Bihar,17,2,8,19,46,Pass
Manpreet Fernandes,13-11-2004,169378,Maharashtra,5,15,16,5,41,Pass
Krishna Chopra,18-12-2005,362286,Telangana,18,3,14,16,51,Pass
Krishna Fernandes,23-01-2005,494164,Uttar Pradesh,8,5,10,22,45,Pass
Aditya Singh,02-12-2005,759317,Tamil Nadu,3,18,10,13,44,Pass
Vivaan Sharma,25-11-2005,309577,Bihar,7,16,20,16,59,Pass
Krishna Mehta,30-08-2005,922132,Andhra Pradesh,3,6,13,11,33,Pass
Vivaan Singh,25-04-2005,252415,Haryana,10,21,2,2,35,Pass
Aarav Singh,08-11-2005,688664,Uttar Pradesh,2,5,9,23,39,Pass
Ishaan Mehta,08-11-2005,496791,Uttar Pradesh,11,5,3,22,41,Pass
Manpreet Sharma,20-01-2005,609818,Tamil Nadu,11,19,5,7,42,Pass
Paul Pillai,02-05-2005,281384,West Bengal,6,12,11,2,31,Pass
Yash Fernandes,02-03-2006,963349,Punjab,18,9,19,5,51,Pass
Farhan Chopra,20-04-2006,290336,Karnataka,4,0,23,16,43,Pass
Peter Singh,21-08-2005,471123,Gujarat,0,4,1,0,5,Pass
Vivaan Chopra,07-07-2005,671788,Rajasthan,21,20,10,17,68,Pass
Raj Verma,12-12-2005,390788,Maharashtra,9,5,16,18,48,Pass
Balbir Chopra,01-04-2005,932938,Uttar Pradesh,13,5,17,5,40,Pass
Ishaan Khan,18-04-2006,485856,Mizoram,4,9,8,9,30,Pass
Sukhwinder Singh,01-02-2005,683537,Madhya Pradesh,11,14,10,6,41,Pass
Aarav Fernandes,18-12-2005,186602,West Bengal,3,19,15,15,52,Pass
Paul Fernandes,02-01-2006,931139,Haryana,5,17,12,19,53,Pass
Ishaan Fernandes,11-07-2005,501514,Manipur,21,3,24,2,50,Pass
Aarav Chopra,25-06-2005,486891,Rajasthan,22,16,2,9,49,Pass
Ayaan D'Souza,21-10-2005,250346,Punjab,20,15,3,15,53,Pass
Vivaan Pillai,26-09-2005,181525,Punjab,17,17,17,2,53,Pass
Balbir Singh,25-10-2005,547678,Maharashtra,14,4,18,24,60,Pass
Gurpreet Fernandes,22-12-2004,120861,Maharashtra,8,4,4,18,34,Pass
Aryan Khan,09-07-2005,738405,Gujarat,6,20,22,3,51,Pass
Mathew Pillai,04-04-2006,645253,Bihar,22,9,6,7,44,Pass
Rohan Sharma,10-12-2005,921451,Gujarat,3,12,20,3,38,Pass
Rohan Khan,20-01-2005,241530,Uttar Pradesh,7,5,12,1,25,Pass
Krishna Khan,16-01-2006,553338,Uttar Pradesh,13,5,3,1,22,Pass
Manpreet Verma,16-08-2005,734118,Nagaland,5,4,3,18,30,Pass
Aarav Sharma,16-01-2006,273655,Rajasthan,23,1,14,12,50,Pass
Kunal Verma,11-04-2006,526523,Karnataka,4,19,19,12,54,Pass
Vivaan Mehta,11-05-2005,485433,Uttar Pradesh,19,5,17,13,54,Pass
Raj Verma,07-01-2005,791617,Haryana,18,15,23,7,63,Pass
Aryan Mehta,12-02-2005,163444,Punjab,17,13,3,20,53,Pass
Vivaan Singh,16-02-2005,507835,Maharashtra,1,12,0,0,13,Pass
Ayaan Pillai,02-12-2004,175118,Uttar Pradesh,11,5,4,21,41,Pass
Krishna Fernandes,12-07-2005,376127,Karnataka,17,14,12,4,47,Pass
Harjeet Chopra,13-04-2005,477218,Haryana,12,7,24,6,49,Pass
Zaid Singh,29-03-2006,960897,Rajasthan,15,9,20,23,67,Pass
Peter Mehta,06-05-2005,393355,Rajasthan,16,23,22,15,76,Pass
Aarav Khan,15-01-2006,124472,Uttar Pradesh,3,5,16,18,42,Pass
Farhan Reddy,17-01-2006,450738,Maharashtra,8,17,8,9,42,Pass
Rehan Fernandes,09-11-2004,961348,West Bengal,3,21,11,16,51,Pass
Raj Sharma,23-07-2005,959520,Uttar Pradesh,3,5,20,14,42,Pass
Manpreet Reddy,12-11-2004,425694,Assam,7,15,4,2,28,Pass
Kunal D'Souza,01-12-2005,494765,Kerala,13,10,5,21,49,Pass
Aditya Verma,05-04-2005,369931,Madhya Pradesh,9,8,20,10,47,Pass
Aditya Sharma,17-01-2006,505952,Bihar,3,20,5,21,49,Pass
Krishna Fernandes,27-10-2005,658135,Maharashtra,10,7,3,13,33,Pass
Sukhwinder Verma,25-11-2005,689136,Bihar,17,0,5,23,45,Pass
Raj Mehta,15-10-2005,909382,Telangana,17,3,21,21,62,Pass
Aarav Singh,25-08-2005,572466,Bihar,4,11,20,4,39,Pass
Aditya Pillai,01-01-2006,626876,Bihar,20,20,10,8,58,Pass
Kunal Khan,23-02-2006,709355,Rajasthan,22,6,19,9,56,Pass
Yash Verma,04-02-2006,478594,Rajasthan,15,10,24,24,73,Pass
Aryan Singh,08-02-2005,686917,Uttarakhand,2,2,5,5,14,Pass
Ishaan Chopra,29-04-2006,141227,Andhra Pradesh,1,22,6,1,30,Pass
Balbir Reddy,27-05-2005,547695,Delhi,3,9,16,24,52,Fail
Peter Verma,17-04-2006,274425,Karnataka,4,5,6,6,21,Pass
Aryan Khan,16-03-2006,104939,Gujarat,22,1,10,19,52,Pass
Gurpreet Pillai,28-12-2005,665231,Andhra Pradesh,2,22,3,19,46,Pass
Ishaan Pillai,03-04-2005,730981,Bihar,1,20,7,1,29,Pass
Vivaan Singh,23-06-2005,451247,Bihar,5,12,13,5,35,Pass
Aryan Mehta,22-06-2005,334249,Maharashtra,14,13,10,4,41,Pass
Ishaan Singh,26-12-2005,107317,Rajasthan,9,14,17,24,64,Pass
Sukhwinder Singh,10-01-2006,943183,Uttar Pradesh,7,5,5,18,35,Pass
Ishaan D'Souza,03-02-2005,438890,West Bengal,18,0,2,23,43,Pass
Balbir Mehta,09-07-2005,886178,Bihar,11,6,16,5,38,Pass
Kunal Fernandes,11-01-2005,787494,Gujarat,6,7,12,6,31,Pass
Paul Mehta,11-06-2005,589730,Delhi,22,0,19,9,50,Fail
Aarav Fernandes,12-11-2004,474565,Gujarat,16,3,22,7,48,Pass
Aryan Reddy,08-01-2006,277642,West Bengal,3,18,20,11,52,Pass
Gurpreet D'Souza,09-11-2004,667050,Rajasthan,8,14,13,22,57,Pass
Vivaan Mehta,10-12-2005,887758,Rajasthan,22,21,1,5,49,Pass
Rohan Chopra,27-07-2005,994352,Andhra Pradesh,15,13,15,11,54,Pass
Peter Mehta,07-05-2006,170102,Punjab,21,11,23,3,58,Pass
Harjeet D'Souza,23-11-2005,228091,Rajasthan,16,8,10,22,56,Pass
Vivaan Fernandes,02-02-2005,412345,Uttar Pradesh,18,5,12,18,53,Pass
Krishna Fernandes,22-12-2005,511494,Bihar,10,4,12,11,37,Pass
Raj Singh,20-01-2006,124176,Haryana,17,14,16,11,58,Pass
Kunal Verma,09-12-2004,440516,Bihar,15,23,21,0,59,Pass
Yash Pillai,26-04-2005,803158,Madhya Pradesh,18,18,5,15,56,Pass
Paul Sharma,25-04-2006,395659,Uttar Pradesh,5,5,11,0,21,Pass
Raj Fernandes,14-02-2005,810656,Punjab,3,3,16,21,43,Pass
Kunal Pillai,04-12-2005,371880,Karnataka,21,17,17,0,55,Pass
Krishna Singh,24-09-2005,375698,Tamil Nadu,6,0,7,15,28,Pass
Ishaan Verma,02-04-2005,852866,West Bengal,3,20,8,21,52,Pass
Aarav Singh,18-11-2004,263946,Bihar,11,2,21,7,41,Pass
Yash Singh,25-10-2005,349968,Rajasthan,22,21,9,20,72,Pass
Imran Khan,06-12-2004,882802,Jharkhand,12,22,7,4,45,Pass
Yash D'Souza,08-12-2005,649852,Uttar Pradesh,5,5,18,5,33,Pass
David Singh,27-10-2005,817673,Chhattisgarh,6,8,21,23,58,Pass
Yash Singh,06-02-2005,493339,Bihar,7,5,7,1,20,Pass
Krishna Singh,01-08-2005,560059,Uttar Pradesh,12,5,8,21,46,Pass
Krishna Fernandes,15-01-2006,853767,Gujarat,2,17,18,9,46,Pass
Peter Chopra,07-06-2005,142110,Haryana,13,17,22,17,69,Pass
Ishaan Verma,26-06-2005,243896,Bihar,16,7,11,22,56,Pass
Vivaan Sharma,14-08-2005,241139,Kerala,6,8,9,9,32,Pass
Aarav Fernandes,13-03-2006,383147,Delhi,13,0,21,10,44,Fail
Balbir Singh,03-07-2005,618145,Rajasthan,24,15,8,14,61,Pass
Vivaan Mehta,24-08-2005,600647,Delhi,7,13,16,5,41,Fail
Ishaan Chopra,05-02-2005,430523,Rajasthan,12,17,8,4,41,Pass
Krishna Chopra,18-03-2005,973552,Haryana,6,20,19,16,61,Pass
Krishna Verma,01-01-2005,469133,Punjab,10,20,4,7,41,Pass
Raj Verma,23-09-2005,631066,Maharashtra,11,4,20,22,57,Pass
Aryan Verma,09-03-2005,483829,Odisha,6,6,24,10,46,Pass
Aditya D'Souza,29-12-2004,553333,Gujarat,14,20,22,22,78,Pass
Peter Fernandes,03-05-2005,521284,Bihar,17,4,11,5,37,Pass
Yash Chopra,20-08-2005,601045,Uttar Pradesh,4,5,18,5,32,Pass
Raj Fernandes,23-09-2005,237616,Tamil Nadu,11,5,19,2,37,Pass
Aryan Sharma,25-03-2006,267346,Gujarat,21,8,17,14,60,Pass
Rohan Chopra,08-12-2005,502596,Bihar,3,24,3,10,40,Pass
Aryan Reddy,10-01-2005,155930,Tamil Nadu,1,6,10,7,24,Pass
Yash Reddy,18-12-2005,161591,Rajasthan,24,22,23,16,85,Pass
Aarav Pillai,27-10-2005,375352,Rajasthan,15,15,7,2,39,Pass
Aarav Pillai,14-04-2006,911926,Haryana,20,20,0,6,46,Pass
Harjeet Chopra,13-01-2006,308511,Uttar Pradesh,13,5,0,10,28,Pass
Ishaan Fernandes,10-10-2005,723020,West Bengal,3,1,24,13,41,Pass
Ishaan Fernandes,17-11-2005,534214,Kerala,21,14,5,10,50,Pass
Aryan Singh,16-02-2006,447010,Punjab,16,20,3,18,57,Pass
Aarav Khan,11-07-2005,788583,Bihar,16,19,21,11,67,Pass
Vivaan Sharma,12-11-2005,320369,Rajasthan,18,6,15,17,56,Pass
John Chopra,16-01-2005,329636,Bihar,16,24,20,3,63,Pass
Aarav D'Souza,03-01-2006,268876,Jharkhand,13,24,4,11,52,Pass
Manpreet Singh,10-07-2005,291885,Karnataka,6,5,8,9,28,Pass
Gurpreet Singh,22-06-2005,984495,Rajasthan,20,11,24,24,79,Pass
Kunal Khan,07-10-2005,873517,Assam,7,6,1,20,34,Pass
Yash Singh,16-04-2005,181684,Tamil Nadu,9,11,24,10,54,Pass
Vivaan Sharma,18-10-2005,400539,Kerala,12,19,3,18,52,Pass
Aarav Pillai,25-04-2006,461239,Uttar Pradesh,1,5,23,2,31,Pass
Ishaan Singh,22-12-2004,952632,Meghalaya,11,11,4,7,33,Pass
Kunal Pillai,15-01-2005,501563,Jammu & Kashmir + Ladakh,11,5,8,11,35,Pass
Balbir Fernandes,29-07-2005,141392,West Bengal,5,0,10,21,36,Pass
Raj Mehta,17-11-2005,304587,Uttarakhand,13,17,3,3,36,Pass
Harjeet Khan,22-04-2005,250081,Uttar Pradesh,13,5,20,2,40,Pass
Aryan Sharma,27-04-2006,901005,Kerala,12,19,14,1,46,Pass
Raj Reddy,05-02-2005,564141,Bihar,18,24,9,2,53,Pass
Aditya D'Souza,16-10-2005,137114,Madhya Pradesh,0,3,24,10,37,Pass
Aditya Mehta,01-12-2005,432847,Andhra Pradesh,20,6,8,14,48,Pass
Aditya Khan,23-12-2005,247232,Kerala,5,10,11,12,38,Pass
Vivaan Verma,29-10-2005,961471,Bihar,12,11,14,19,56,Pass
Vivaan Singh,05-05-2006,425716,Telangana,12,15,11,10,48,Pass
Sukhwinder Mehta,12-08-2005,618501,Tamil Nadu,12,5,3,0,20,Pass
Aarav Reddy,08-01-2006,253479,Tamil Nadu,14,15,23,22,74,Pass
Harjeet Verma,10-10-2005,339213,Telangana,16,16,2,18,52,Pass
Aryan D'Souza,12-04-2005,653153,Rajasthan,19,7,24,6,56,Pass
Rohan Pillai,24-07-2005,296850,Nagaland,18,8,3,8,37,Pass
Aditya Fernandes,11-09-2005,349732,Haryana,0,6,20,0,26,Pass
Aryan Verma,22-06-2005,970831,Madhya Pradesh,6,7,17,11,41,Pass
Yash Chopra,04-05-2005,221429,Bihar,0,19,0,13,32,Pass
Peter Fernandes,26-03-2006,691378,Uttar Pradesh,1,5,23,3,32,Pass
Harjeet Mehta,29-04-2006,625422,Telangana,18,14,2,19,53,Pass
Gurpreet Mehta,25-12-2005,228217,Bihar,10,24,10,12,56,Pass
Sukhwinder Pillai,26-06-2005,346666,Rajasthan,11,19,11,15,56,Pass
Aarav Reddy,25-12-2004,167505,Karnataka,4,22,3,4,33,Pass
Paul Mehta,14-09-2005,328230,West Bengal,4,18,1,13,36,Pass
Aarav Mehta,18-03-2005,764298,Chhattisgarh,17,13,1,5,36,Pass
Gurpreet Sharma,23-05-2005,255424,Meghalaya,13,6,6,7,32,Pass
Kunal Mehta,25-01-2005,288515,Chhattisgarh,15,22,17,0,54,Pass
Mathew Singh,15-02-2006,324650,Gujarat,12,10,8,22,52,Pass
Ishaan Pillai,11-03-2006,518060,Jharkhand,8,19,14,3,44,Pass
Vivaan Verma,11-01-2006,790321,Gujarat,3,6,22,24,55,Pass
Manpreet Mehta,27-01-2005,134255,Bihar,23,8,14,22,67,Pass
Balbir Reddy,17-04-2006,866131,Maharashtra,18,4,24,20,66,Pass
Kunal Chopra,29-01-2005,911612,Rajasthan,4,1,13,10,28,Pass
Yash Verma,02-11-2005,446646,West Bengal,1,23,13,14,51,Pass
Aarav Chopra,31-12-2005,879823,Punjab,0,20,4,18,42,Pass
Aryan D'Souza,23-07-2005,746771,Uttar Pradesh,9,5,0,5,19,Pass
Vivaan Pillai,14-03-2006,989102,Rajasthan,4,22,14,24,64,Pass
Krishna Reddy,03-05-2005,598270,Uttar Pradesh,11,5,2,23,41,Pass
Rohan Fernandes,18-12-2004,350012,Rajasthan,0,11,16,12,39,Pass
Manpreet Singh,03-07-2005,342770,West Bengal,12,12,19,4,47,Pass
Yash Khan,30-11-2005,835288,Odisha,1,17,10,5,33,Pass
Gurpreet Singh,16-04-2005,647280,Uttarakhand,3,21,13,21,58,Pass
Yash Pillai,19-01-2006,858091,West Bengal,18,14,3,11,46,Pass
Aditya Reddy,28-01-2005,224104,Delhi,19,5,19,8,51,Fail
Yash Chopra,22-05-2005,519064,Uttar Pradesh,23,5,5,19,52,Pass
Vivaan Reddy,25-04-2005,671136,Uttar Pradesh,19,5,23,11,58,Pass
Yash D'Souza,06-03-2006,801666,Jharkhand,17,17,16,1,51,Pass
Raj Singh,20-12-2004,749611,Bihar,8,11,3,5,27,Pass
Mathew Pillai,14-02-2005,346480,Andhra Pradesh,1,3,18,4,26,Pass
Gurpreet Mehta,25-02-2005,360676,Andhra Pradesh,4,22,3,22,51,Pass
Aryan Verma,20-12-2005,100634,Rajasthan,19,7,21,24,71,Pass
Aryan Singh,05-05-2006,582683,Maharashtra,23,4,22,24,73,Pass
Kunal Verma,07-06-2005,608465,Kerala,19,23,2,18,62,Pass
Aarav Reddy,04-07-2005,729178,West Bengal,3,21,24,18,66,Pass
Sukhwinder Khan,11-03-2005,612602,Punjab,23,3,23,1,50,Pass
Ishaan Singh,23-11-2004,986236,Delhi,20,13,24,9,66,Fail
Gurpreet Reddy,06-05-2006,880968,Bihar,15,15,3,9,42,Pass
Aarav D'Souza,13-12-2005,478576,Uttar Pradesh,16,5,18,12,51,Pass
Aryan Sharma,16-01-2006,846598,Rajasthan,18,9,5,14,46,Pass
Rohan Pillai,24-01-2006,591524,Haryana,22,19,2,23,66,Pass
Mathew Sharma,28-10-2005,766689,Punjab,22,4,2,1,29,Pass
Farhan Pillai,16-07-2005,117574,Gujarat,20,14,10,8,52,Pass
Aditya D'Souza,13-11-2004,954590,Madhya Pradesh,17,11,12,4,44,Pass
Farhan Khan,26-07-2005,211251,Rajasthan,3,14,21,2,40,Pass
Ishaan Chopra,12-06-2005,664682,Karnataka,24,4,0,14,42,Pass
Aarav Fernandes,15-01-2005,228814,Delhi,11,24,21,24,80,Fail
Vivaan Fernandes,09-10-2005,360413,Gujarat,21,18,8,4,51,Pass
Ishaan Pillai,30-03-2005,856380,Punjab,2,22,11,8,43,Pass
Vivaan Mehta,19-12-2004,592449,Punjab,2,14,18,5,39,Pass
Aryan Fernandes,23-10-2005,958238,Tamil Nadu,23,18,17,1,59,Pass
Farhan Pillai,31-05-2005,126158,West Bengal,3,10,13,19,45,Pass
Aditya Reddy,03-04-2005,892270,Maharashtra,4,7,13,3,27,Pass
Aryan Chopra,28-01-2005,183095,Jharkhand,24,9,13,20,66,Pass
Sukhwinder Verma,30-05-2005,437728,Punjab,22,5,4,16,47,Pass
Yash Pillai,28-02-2006,938128,Rajasthan,15,17,15,24,71,Pass
Ishaan D'Souza,10-12-2004,870271,Maharashtra,0,4,23,23,50,Pass
Aryan Chopra,26-12-2004,727845,Meghalaya,9,6,8,7,30,Pass
Aditya Khan,04-05-2006,975840,Uttar Pradesh,14,5,3,7,29,Pass
Aarav Verma,30-10-2005,662535,Uttar Pradesh,16,5,6,19,46,Pass
Sukhwinder Reddy,05-11-2005,639611,Maharashtra,20,4,18,18,60,Pass
Krishna Chopra,19-07-2005,498533,Bihar,7,23,18,20,68,Pass
Vivaan D'Souza,28-10-2005,588210,Andhra Pradesh,1,6,21,23,51,Pass
Rohan Chopra,14-01-2005,645577,Haryana,24,8,24,22,78,Pass
Krishna Sharma,31-03-2005,110440,Bihar,21,10,15,12,58,Pass
Aryan Fernandes,20-04-2006,780703,Uttar Pradesh,15,5,22,8,50,Pass
Peter D'Souza,21-01-2005,141361,Tamil Nadu,20,13,23,23,79,Pass
Aryan Chopra,08-01-2006,580792,Bihar,21,0,9,0,30,Pass
Vivaan D'Souza,23-02-2006,441656,Assam,7,1,19,7,34,Pass
Ayaan Reddy,19-03-2006,769943,Rajasthan,16,16,22,21,75,Pass
Kunal Singh,06-08-2005,797123,Chhattisgarh,21,4,6,22,53,Pass
Gurpreet D'Souza,07-05-2006,587522,Gujarat,22,2,20,15,59,Pass
Mathew Sharma,03-02-2005,809665,Gujarat,9,2,0,20,31,Pass
Rohan Mehta,27-06-2005,212538,Meghalaya,8,16,11,14,49,Pass
Yash Singh,09-06-2005,252433,Jharkhand,11,14,11,24,60,Pass
Rohan Khan,15-04-2005,576712,Uttar Pradesh,16,5,23,13,57,Pass
Krishna Fernandes,26-11-2004,203011,Gujarat,8,12,13,18,51,Pass
Aryan Pillai,13-12-2005,941438,Tamil Nadu,14,14,22,8,58,Pass
Ishaan Fernandes,02-04-2005,393789,Rajasthan,11,0,2,17,30,Pass
Aryan Fernandes,15-12-2004,340196,Uttar Pradesh,5,5,8,24,42,Pass
Ayaan Verma,07-07-2005,956787,Jharkhand,0,9,14,6,29,Pass
Raj Verma,08-09-2005,373374,Maharashtra,11,0,17,17,45,Pass
Ishaan D'Souza,20-12-2004,219307,Tamil Nadu,16,3,21,9,49,Pass
Kunal Singh,09-11-2005,424136,Maharashtra,17,3,1,11,32,Pass
Kunal Khan,24-09-2005,524168,Haryana,1,12,24,21,58,Pass
Balbir Mehta,26-07-2005,400917,West Bengal,8,7,14,20,49,Pass
Krishna Pillai,28-01-2006,823229,Karnataka,19,6,17,2,44,Pass
Paul D'Souza,03-02-2005,687605,Kerala,11,12,14,6,43,Pass
Yash Fernandes,21-05-2005,387022,Bihar,4,15,7,17,43,Pass
Krishna Reddy,13-02-2006,166224,Maharashtra,11,4,10,12,37,Pass
Vivaan Sharma,13-03-2006,233297,Telangana,16,5,12,2,35,Pass
Aarav Reddy,21-02-2006,876387,Bihar,21,8,17,2,48,Pass
Rohan Sharma,27-01-2005,641450,Haryana,5,5,11,17,38,Pass
Aditya Khan,20-12-2004,151307,Andhra Pradesh,9,9,18,12,48,Pass
Krishna Fernandes,14-12-2004,510421,Chhattisgarh,13,23,6,16,58,Pass
Yash Verma,28-01-2006,783362,Punjab,0,8,15,3,26,Pass
Krishna Sharma,20-08-2005,423578,Madhya Pradesh,21,1,6,20,48,Pass
Aryan Reddy,30-01-2005,106902,Uttar Pradesh,11,5,5,17,38,Pass
Vivaan D'Souza,08-10-2005,856958,Maharashtra,7,12,2,10,31,Pass
Rohan Mehta,08-11-2005,659716,Kerala,11,12,11,11,45,Pass
Vivaan Chopra,03-01-2006,133246,Jharkhand,11,24,9,7,51,Pass
Aarav Singh,26-02-2006,822284,Madhya Pradesh,1,7,20,22,50,Pass
Rohan Chopra,02-07-2005,307842,Jharkhand,6,2,10,22,40,Pass
Aryan Singh,02-11-2005,692322,Uttar Pradesh,3,5,23,20,51,Pass
John Verma,13-01-2006,953171,Rajasthan,19,9,16,21,65,Pass
Aryan Reddy,28-06-2005,911717,Uttar Pradesh,24,5,11,17,57,Pass
Kunal Singh,11-03-2006,173220,Uttar Pradesh,20,5,19,24,68,Pass
Raj Sharma,16-04-2006,588457,Punjab,10,5,17,0,32,Pass
Aryan Verma,28-08-2005,309238,Telangana,3,13,20,19,55,Pass
Rohan Khan,13-07-2005,361447,Tamil Nadu,9,20,9,15,53,Pass
Sukhwinder Reddy,16-12-2005,338019,Madhya Pradesh,24,2,8,22,56,Pass
Raj Chopra,29-09-2005,299608,Bihar,18,0,9,15,42,Pass
Vivaan Sharma,04-01-2006,478514,Kerala,12,11,12,11,46,Pass
Yash Mehta,25-12-2005,985348,Bihar,7,6,16,18,47,Pass
Krishna Pillai,09-03-2005,692718,Kerala,23,4,9,10,46,Pass
Ishaan Mehta,28-02-2006,840057,Chhattisgarh,6,14,7,24,51,Pass
Imran Reddy,11-04-2005,557641,Uttarakhand,3,0,4,14,21,Pass
Yash Singh,23-04-2006,322921,Uttar Pradesh,2,5,12,19,38,Pass
Rohan Verma,29-03-2005,286378,Chhattisgarh,12,22,8,2,44,Pass
Peter Fernandes,13-08-2005,506964,Bihar,20,1,20,21,62,Pass
Krishna Sharma,16-01-2006,355762,Bihar,3,8,9,22,42,Pass
Vivaan Pillai,03-12-2005,955474,Uttar Pradesh,3,5,14,18,40,Pass
Vivaan Pillai,03-08-2005,997507,Bihar,8,8,14,20,50,Pass
Balbir Mehta,04-03-2005,351298,Jharkhand,13,22,24,0,59,Pass
Kunal D'Souza,18-11-2005,547893,Haryana,11,11,24,7,53,Pass
John D'Souza,05-03-2005,849708,Madhya Pradesh,16,2,4,19,41,Pass
Rohan Singh,19-10-2005,418179,Bihar,6,13,24,9,52,Pass
Sukhwinder Reddy,23-11-2005,736854,Bihar,13,20,14,4,51,Pass
Sukhwinder Pillai,12-12-2004,225952,Maharashtra,9,6,8,17,40,Pass
Kunal Khan,10-12-2004,114761,Tamil Nadu,7,7,7,13,34,Pass
Raj Sharma,02-07-2005,505480,Karnataka,14,3,15,3,35,Pass
Paul Chopra,31-03-2005,351936,Haryana,11,6,20,7,44,Pass
David Pillai,16-04-2005,633360,Bihar,15,18,7,17,57,Pass
Gurpreet Reddy,30-04-2006,648236,Punjab,2,7,17,23,49,Pass
Krishna Verma,28-11-2004,309369,Maharashtra,21,18,9,0,48,Pass
Aditya Reddy,14-02-2005,115570,Telangana,4,15,2,4,25,Pass
Aarav Sharma,21-11-2004,864352,Uttar Pradesh,6,5,15,8,34,Pass
Vivaan Chopra,13-04-2006,854282,Haryana,18,21,10,24,73,Pass
John D'Souza,04-11-2005,478515,Maharashtra,4,23,13,7,47,Pass
Aarav D'Souza,29-12-2005,313211,Maharashtra,14,4,14,18,50,Pass
Harjeet Reddy,01-02-2005,144703,West Bengal,23,10,17,3,53,Pass
Rohan Singh,08-07-2005,458440,Madhya Pradesh,12,15,14,12,53,Pass
Aarav Sharma,02-01-2006,737815,Madhya Pradesh,11,12,16,4,43,Pass
David Singh,24-02-2005,320705,Uttar Pradesh,8,5,15,0,28,Pass
Aditya Sharma,04-04-2005,732610,West Bengal,2,5,1,19,27,Pass
Krishna Reddy,30-09-2005,646731,West Bengal,7,6,1,13,27,Pass
Kunal Reddy,18-06-2005,447597,Maharashtra,22,4,11,22,59,Pass
Rohan Singh,14-10-2005,202855,Madhya Pradesh,23,10,0,19,52,Pass
Aarav D'Souza,11-08-2005,549003,Tamil Nadu,15,8,0,13,36,Pass
Kunal Chopra,12-01-2006,550959,Tamil Nadu,13,19,16,13,61,Pass
Ishaan Reddy,11-01-2005,231442,Odisha,9,10,6,12,37,Pass
Krishna Sharma,17-04-2005,975538,Haryana,14,4,15,15,48,Pass
Krishna Sharma,09-05-2006,351213,Assam,9,6,23,1,39,Pass
Aarav D'Souza,03-06-2005,320111,Bihar,12,14,8,13,47,Pass
Imran Khan,28-10-2005,592808,Tamil Nadu,8,23,18,24,73,Pass
Mathew Chopra,24-04-2005,920596,Andhra Pradesh,15,4,14,5,38,Pass
John Chopra,01-06-2005,768145,Gujarat,9,12,1,9,31,Pass
Aditya Khan,10-02-2005,242582,Goa,7,7,5,7,26,Pass
Rohan Khan,20-01-2005,450894,Odisha,11,0,10,24,45,Pass
Ayaan Chopra,26-03-2006,981773,Punjab,14,12,5,12,43,Pass
Aryan Chopra,19-04-2005,180396,Telangana,14,9,9,18,50,Pass
Aarav Mehta,09-02-2005,693016,Rajasthan,9,9,16,3,37,Pass
Raj Khan,08-10-2005,787720,Bihar,11,7,0,6,24,Pass
Krishna D'Souza,26-01-2005,538710,Uttar Pradesh,17,5,10,13,45,Pass
Aarav Singh,25-01-2006,736809,Tamil Nadu,9,8,20,10,47,Pass
Aryan Singh,14-10-2005,512257,Rajasthan,4,0,4,24,32,Pass
Yash Mehta,22-06-2005,855281,Andhra Pradesh,10,10,5,24,49,Pass
Aryan Singh,06-01-2005,276393,Jharkhand,3,22,17,21,63,Pass
Imran Sharma,25-11-2005,171662,Gujarat,5,23,16,14,58,Pass
Ishaan Khan,20-04-2006,769876,Maharashtra,19,4,6,20,49,Pass
Rohan Fernandes,07-12-2004,716470,Uttarakhand,0,22,11,2,35,Pass
Sukhwinder Khan,20-04-2006,510886,Rajasthan,14,19,18,0,51,Pass
Aryan Fernandes,23-10-2005,807958,Uttar Pradesh,17,5,6,22,50,Pass
Aryan Singh,24-09-2005,526743,Uttar Pradesh,2,5,0,7,14,Pass
Aryan Reddy,03-03-2005,478666,Uttar Pradesh,21,5,5,19,50,Pass
Gurpreet Singh,06-05-2006,759741,Punjab,3,22,15,13,53,Pass
Kunal Mehta,24-04-2006,331597,Himachal Pradesh,12,20,18,5,55,Pass
Rohan Singh,08-03-2006,755868,Punjab,7,18,17,14,56,Pass
David Reddy,27-11-2004,632658,Uttar Pradesh,7,5,13,4,29,Pass
David Mehta,05-09-2005,578723,West Bengal,3,16,6,23,48,Pass
Raj Singh,08-08-2005,841579,Karnataka,4,11,14,20,49,Pass
Balbir Singh,08-06-2005,776932,Gujarat,22,11,2,23,58,Pass
Rohan D'Souza,13-07-2005,789391,Gujarat,6,16,0,23,45,Pass
Kunal Sharma,17-11-2004,723607,Uttar Pradesh,18,5,20,7,50,Pass
Raj Singh,22-11-2005,734705,Delhi,1,23,17,0,41,Fail
Aditya Chopra,09-07-2005,763613,Uttar Pradesh,16,5,14,20,55,Pass
Raj Reddy,10-08-2005,619084,Karnataka,15,6,7,21,49,Pass
